SYGNATURA,NAZWA DOKUMENTU,DATA WYSTAWIENIA,DODATKOWE INFORMACJE,KWOTA BRUTTO,TERMIN P뮤TNOCI,KWOTA DO ZAP뮤TY,ZAP뮤CONA,
U/07/94/9436084/0710122P5,Faktura prognozowana,10.08.2021,Zu쯫cie energii: 565 kWh,361,12,07.01.2022,---,zap쓰cona
U/07/94/9436084/0701221P4,Faktura prognozowana,10.08.2021,Zu쯫cie energii: 565 kWh,361,12,07.12.2021,---,zap쓰cona
U/07/94/9436084/0691121P3,Faktura prognozowana,10.08.2021,Zu쯫cie energii: 565 kWh,361,12,07.11.2021,---,zap쓰cona
U/07/94/9436084/0681021P2,Faktura prognozowana,10.08.2021,Zu쯫cie energii: 565 kWh,361,12,07.10.2021,---,zap쓰cona
U/07/94/9436084/0670921P1,Faktura prognozowana,10.08.2021,Zu쯫cie energii: 565 kWh,361,12,07.09.2021,---,zap쓰cona
U/07/94/9436084/0660821RW,Faktura rozliczeniowa,10.08.2021,Zu쯫cie energii: 2386 kWh,58,18,07.09.2021,---,zap쓰cona
U/07/94/9436084/0650721P5,Faktura prognozowana,22.02.2021,Zu쯫cie energii: 465 kWh,301,1,22.07.2021,---,zap쓰cona
U/07/94/9436084/0640621P4,Faktura prognozowana,22.02.2021,Zu쯫cie energii: 465 kWh,301,1,22.06.2021,---,zap쓰cona
U/07/94/9436084/0630521P3,Faktura prognozowana,22.02.2021,Zu쯫cie energii: 465 kWh,301,1,22.05.2021,---,zap쓰cona
U/07/94/9436084/0620421P2,Faktura prognozowana,22.02.2021,Zu쯫cie energii: 465 kWh,301,1,22.04.2021,---,zap쓰cona
U/07/94/9436084/0610321P1,Faktura prognozowana,22.02.2021,Zu쯫cie energii: 465 kWh,301,1,22.03.2021,---,zap쓰cona
U/07/94/9436084/0600221RW,Faktura rozliczeniowa,22.02.2021,Zu쯫cie energii: 2983 kWh,591,14,22.03.2021,---,zap쓰cona
07/32046757/02/21/Z,Nota odsetkowa,22.02.2021,---,10,16,08.03.2021,---,zap쓰cona
U/07/94/9436084/0590121P5,Faktura prognozowana,19.08.2020,Zu쯫cie energii: 413 kWh,255,62,16.01.2021,---,zap쓰cona
U/07/94/9436084/0581220P4,Faktura prognozowana,19.08.2020,Zu쯫cie energii: 413 kWh,255,62,16.12.2020,---,zap쓰cona
U/07/94/9436084/0571120P3,Faktura prognozowana,19.08.2020,Zu쯫cie energii: 413 kWh,255,62,16.11.2020,---,zap쓰cona
U/07/94/9436084/0561020P2,Faktura prognozowana,19.08.2020,Zu쯫cie energii: 413 kWh,255,62,16.10.2020,---,zap쓰cona
U/07/94/9436084/0550920P1,Faktura prognozowana,19.08.2020,Zu쯫cie energii: 413 kWh,255,62,16.09.2020,---,zap쓰cona
U/07/94/9436084/0540820RW,Faktura rozliczeniowa,19.08.2020,Zu쯫cie energii: 2303 kWh,300,50,16.09.2020,---,zap쓰cona
U/07/94/9436084/0530720P5,Faktura prognozowana,21.02.2020,Zu쯫cie energii: 363 kWh,225,72,20.07.2020,---,zap쓰cona
U/07/94/9436084/0520620P4,Faktura prognozowana,21.02.2020,Zu쯫cie energii: 363 kWh,225,72,20.06.2020,---,zap쓰cona
U/07/94/9436084/0510520P3,Faktura prognozowana,21.02.2020,Zu쯫cie energii: 363 kWh,225,72,20.05.2020,---,zap쓰cona
U/07/94/9436084/0500420P2,Faktura prognozowana,21.02.2020,Zu쯫cie energii: 363 kWh,225,72,20.04.2020,---,zap쓰cona
U/07/94/9436084/0490320P1,Faktura prognozowana,21.02.2020,Zu쯫cie energii: 363 kWh,225,72,20.03.2020,---,zap쓰cona
U/07/94/9436084/0480220RW,Faktura rozliczeniowa,21.02.2020,Zu쯫cie energii: 2166 kWh,156,75,20.03.2020,---,zap쓰cona
U/07/94/9436084/0470120P5,Faktura prognozowana,16.08.2019,Zu쯫cie energii: 391 kWh,218,4,13.01.2020,---,zap쓰cona
U/07/94/9436084/0461219P4,Faktura prognozowana,16.08.2019,Zu쯫cie energii: 391 kWh,218,4,13.12.2019,---,zap쓰cona
U/07/94/9436084/0451119P3,Faktura prognozowana,16.08.2019,Zu쯫cie energii: 391 kWh,218,4,13.11.2019,---,zap쓰cona
U/07/94/9436084/0441019P2,Faktura prognozowana,16.08.2019,Zu쯫cie energii: 391 kWh,218,4,13.10.2019,---,zap쓰cona
U/07/94/9436084/0430919P1,Faktura prognozowana,16.08.2019,Zu쯫cie energii: 391 kWh,218,4,13.09.2019,---,zap쓰cona
U/07/94/9436084/0420819RW,Faktura rozliczeniowa,16.08.2019,Zu쯫cie energii: 1802 kWh,105,72,13.09.2019,---,zap쓰cona
U/07/94/9436084/0410719P5,Faktura prognozowana,18.02.2019,Zu쯫cie energii: 326 kWh,181,71,18.07.2019,---,zap쓰cona
U/07/94/9436084/0400619P4,Faktura prognozowana,18.02.2019,Zu쯫cie energii: 326 kWh,181,71,18.06.2019,---,zap쓰cona
U/07/94/9436084/0390519P3,Faktura prognozowana,18.02.2019,Zu쯫cie energii: 326 kWh,181,71,18.05.2019,---,zap쓰cona
U/07/94/9436084/0380419P2,Faktura prognozowana,18.02.2019,Zu쯫cie energii: 326 kWh,181,71,18.04.2019,---,zap쓰cona
U/07/94/9436084/0370319P1,Faktura prognozowana,18.02.2019,Zu쯫cie energii: 326 kWh,181,71,18.03.2019,---,zap쓰cona
U/07/94/9436084/0360219RW,Faktura rozliczeniowa,18.02.2019,Zu쯫cie energii: 2077 kWh,35,48,18.03.2019,---,zap쓰cona
07/32046757/01/19/Z,Nota odsetkowa,18.02.2019,---,9,16,04.03.2019,---,zap쓰cona
U/07/94/9436084/0350119P5,Faktura prognozowana,09.08.2018,Zu쯫cie energii: 402 kWh,229,28,06.01.2019,---,zap쓰cona
U/07/94/9436084/0341218P4,Faktura prognozowana,09.08.2018,Zu쯫cie energii: 402 kWh,229,28,06.12.2018,---,zap쓰cona
U/07/94/9436084/0331118P3,Faktura prognozowana,09.08.2018,Zu쯫cie energii: 402 kWh,229,28,06.11.2018,---,zap쓰cona
U/07/94/9436084/0321018P2,Faktura prognozowana,09.08.2018,Zu쯫cie energii: 402 kWh,229,28,06.10.2018,---,zap쓰cona
U/07/94/9436084/0310918P1,Faktura prognozowana,09.08.2018,Zu쯫cie energii: 402 kWh,229,28,06.09.2018,---,zap쓰cona
U/07/94/9436084/0300818RX,Faktura rozliczeniowa,09.08.2018,Zu쯫cie energii: 1513 kWh,-58,98,09.08.2018,---,zap쓰cona
U/07/94/9436084/0290718P5,Faktura prognozowana,20.02.2018,Zu쯫cie energii: 330 kWh,190,80,20.07.2018,---,zap쓰cona
U/07/94/9436084/0280618P4,Faktura prognozowana,20.02.2018,Zu쯫cie energii: 330 kWh,190,80,20.06.2018,---,zap쓰cona
U/07/94/9436084/0270518P3,Faktura prognozowana,20.02.2018,Zu쯫cie energii: 330 kWh,190,80,20.05.2018,---,zap쓰cona
U/07/94/9436084/0260418P2,Faktura prognozowana,20.02.2018,Zu쯫cie energii: 330 kWh,190,80,20.04.2018,---,zap쓰cona
U/07/94/9436084/0250318P1,Faktura prognozowana,20.02.2018,Zu쯫cie energii: 330 kWh,190,80,20.03.2018,---,zap쓰cona
U/07/94/9436084/0240218RW,Faktura rozliczeniowa,20.02.2018,Zu쯫cie energii: 2077 kWh,175,72,20.03.2018,---,zap쓰cona
U/07/94/9436084/0230118P5,Faktura prognozowana,18.08.2017,Zu쯫cie energii: 355 kWh,204,52,15.01.2018,---,zap쓰cona
U/07/94/9436084/0221217P4,Faktura prognozowana,18.08.2017,Zu쯫cie energii: 355 kWh,204,52,15.12.2017,---,zap쓰cona
U/07/94/9436084/0211117P3,Faktura prognozowana,18.08.2017,Zu쯫cie energii: 355 kWh,204,52,15.11.2017,---,zap쓰cona
U/07/94/9436084/0201017P2,Faktura prognozowana,18.08.2017,Zu쯫cie energii: 355 kWh,204,52,15.10.2017,---,zap쓰cona
U/07/94/9436084/0190917P1,Faktura prognozowana,18.08.2017,Zu쯫cie energii: 355 kWh,204,52,15.09.2017,---,zap쓰cona
U/07/94/9436084/0180817RW,Faktura rozliczeniowa,18.08.2017,Zu쯫cie energii: 1687 kWh,654,8,15.09.2017,---,zap쓰cona
U/07/94/9436084/0170717P5,Faktura prognozowana,15.02.2017,Zu쯫cie energii: 99 kWh,67,2,15.07.2017,---,zap쓰cona
U/07/94/9436084/0160617P4,Faktura prognozowana,15.02.2017,Zu쯫cie energii: 99 kWh,67,2,15.06.2017,---,zap쓰cona
U/07/94/9436084/0150517P3,Faktura prognozowana,15.02.2017,Zu쯫cie energii: 99 kWh,67,2,15.05.2017,---,zap쓰cona
U/07/94/9436084/0140417P2,Faktura prognozowana,15.02.2017,Zu쯫cie energii: 99 kWh,67,2,15.04.2017,---,zap쓰cona
U/07/94/9436084/0130317P1,Faktura prognozowana,15.02.2017,Zu쯫cie energii: 99 kWh,67,2,15.03.2017,---,zap쓰cona
U/07/94/9436084/0120217RW,Faktura rozliczeniowa,15.02.2017,Zu쯫cie energii: 1789 kWh,720,72,15.03.2017,---,zap쓰cona
U/94/9436084/1117P5,Faktura prognozowana,19.08.2016,Zu쯫cie energii: 99 kWh,62,12,16.01.2017,---,zap쓰cona
U/94/9436084/1016P4,Faktura prognozowana,19.08.2016,Zu쯫cie energii: 99 kWh,62,12,16.12.2016,---,zap쓰cona
U/94/9436084/0916P3,Faktura prognozowana,19.08.2016,Zu쯫cie energii: 99 kWh,62,12,16.11.2016,---,zap쓰cona
U/94/9436084/0816P2,Faktura prognozowana,19.08.2016,Zu쯫cie energii: 99 kWh,62,12,16.10.2016,---,zap쓰cona
U/94/9436084/0716P1,Faktura prognozowana,19.08.2016,Zu쯫cie energii: 99 kWh,62,12,16.09.2016,---,zap쓰cona
U/94/9436084/0616RX,Faktura rozliczeniowa,19.08.2016,Zu쯫cie energii: 511 kWh,-116,55,19.08.2016,---,zap쓰cona
U/94/9436084/0516P5,Faktura prognozowana,25.02.2016,Zu쯫cie energii: 148 kWh,87,98,24.07.2016,---,zap쓰cona
U/94/9436084/0416P4,Faktura prognozowana,25.02.2016,Zu쯫cie energii: 148 kWh,87,98,24.06.2016,---,zap쓰cona
U/94/9436084/0316P3,Faktura prognozowana,25.02.2016,Zu쯫cie energii: 148 kWh,87,98,24.05.2016,---,zap쓰cona
U/94/9436084/0216P2,Faktura prognozowana,25.02.2016,Zu쯫cie energii: 148 kWh,87,98,24.04.2016,---,zap쓰cona
U/94/9436084/0116P1,Faktura prognozowana,25.02.2016,Zu쯫cie energii: 148 kWh,87,98,24.03.2016,---,zap쓰cona
